,,,
Группа проверок,Проверка,Приоритет,Комментарий
,"Ввод времени при помощи клавиатуры:
  - Тап по ЧАСЫ и возможность ввода валидного значения
  - Тап по МИНУТЫ и возможность ввода валидного значения
  - Ввод невалидного значения в поле ЧАСЫ и неудачная попытка сохранения с выводом ошибки под полем
  - Ввод невалидного значения в поле МИНУТЫ и неудачная попытка сохранения с выводом ошибки под полем",Medium,
,Выход из ввода с клавиатуры к циферблату при тапе на иконку циферблата,Medium,
,Правильное функционирование кнопки ОТМЕНА - закрытие окна без сохранения введенных данных,High,
,Кнопка ОК и сохранение выбранного времени,High,
Описание,Оставить поле пустым и появление ошибки при попытке сохранения,Medium,
,Ограничение максимального количества символов,Medium,
Активна / неактивна,Включение/ выключение режима АКТИВНА,Medium,
,При выставлении НЕАКТИВНА карточка новости пропадает с блока новостей,High,
Кнопка СОХРАНИТЬ,Кликабельность кнопки СОХРАНИТЬ и сохранение изменений,High,
Кнопка ОТМЕНА,"Кликабельность кнопки ОТМЕНА и появление окна с предупреждением с кнопками ОТМЕНА и ОК:
 - При нажатии на ОК выход из редактирования и несохранение измененных данных
 - При нажатии на ОТМЕНА возврат к странице редактирования",High,
Категория,Изменение категории тапом на поле,Medium,
,Изменение категории тапом на стрелочку,Medium,
,Оставить поле пустым и появления ошибки при сохранении,Medium,
,Отсутствие возможности самомстоятельного ввода названия категории,Medium,
Заголовок,Оставить поле пустым и появление ошибки при попытке сохранения,Medium,
,Отображение в заголовке названия из категории по умолчанию,Low,
,При изменении заголовка и смене категории - заголовок не принимает значение по умолчанию,Low,
,Ограничение максимального количества символов,Medium,
Дата публикации,Открытие календаря,High,
,Невозможность выбора даты ранее текущего дня,Medium,
,Правильное функционирование кнопки ОТМЕНА - закрытие окна без сохранения введенных данных,High,
,Кнопка ОК и сохранение выбранной даты,High,
,Оставить поле пустым и появление ошибки при попытке сохранения,Medium,
,Карточка новости публикуется в блок НОВОСТИ ровно в ту дату которая установлена как ДАТА ПУБЛИКАЦИИ,High,
,ДАТА СОЗДАНИЯ соответствует дате создания карточки новости,High,
Время публикации,Открытие окна изменения времени,High,
,"Выбора времени при помощи перетягивания стрелок циферблата:
  - Выбор по внутреннему кругу (от 13 до 00 часов) и отображение выбранного часа в верхней панели окна
  - Выбор по внешнему кругу (от 1 до 12) и отображение выбранного часа в верхней панели окна",Medium,
,Автоматический переход к выбору минут после выбора часа,Medium,
,Тап по часу в верхней панели окна и повторная возможность выбора часа,Medium,
,Тап по минутам и выбор минут при помощи стрелки циферблата (от 00 до 59 минут),Medium,
,"Ввод времени при помощи клавиатуры:
  - Тап по ЧАСЫ и возможность ввода валидного значения
  - Тап по МИНУТЫ и возможность ввода валидного значения
  - Ввод невалидного значения в поле ЧАСЫ и неудачная попытка сохранения с выводом ошибки под полем
  - Ввод невалидного значения в поле МИНУТЫ и неудачная попытка сохранения с выводом ошибки под полем",Medium,
,Выход из ввода с клавиатуры к циферблату при тапе на иконку циферблата,Medium,
,Правильное функционирование кнопки ОТМЕНА - закрытие окна без сохранения введенных данных,High,
,Кнопка ОК и сохранение выбранного времени,High,
,Оставить поле пустым и появление ошибки при попытке сохранения,Medium,
,Новость публикуется в назначенное время в разделе Новости,High,
,После изменения времени на более раннее карточка новости перемещается вниз,High,
Описание,Оставить поле пустым и появление ошибки при попытке сохранения,Medium,
,Ограничение максимального количества символов,Medium,
Кнопка СОХРАНИТЬ,Кликабельность кнопки СОХРАНИТЬ и сохранение изменений при верных введенных данных,High,
Кнопка ОТМЕНА,"Кликабельность кнопки ОТМЕНА и появление окна с предупреждением с кнопками ОТМЕНА и ОК:
 - При нажатии на ОК выход из редактирования и несохранение измененных данных
 - При нажатии на ОТМЕНА возврат к странице редактирования",High,
Пункты меню,"При инахождении на главной странице в меню кликабельны пункты: НОВОСТИ, О ПРИЛОЖЕНИИ",High,
,"При инахождении на странице цитат в меню кликабельны пункты: ГЛАВНАЯ, НОВОСТИ, О ПРИЛОЖЕНИИ",High,
,"При инахождении в блоке новостей в меню кликабельны пункты: ГЛАВНАЯ, О ПРИЛОЖЕНИИ",High,
Просмотр цитат,Скроллинг по всем цитатам,Medium,
,Раскрытие цитаты по тапу на карточку цитаты при этом цитата ниже сдвигается вниз,Medium,
Ссылки,Ссылка на политику конфиденциальности кликабельна и ведет на страницу с политикой конфидиальности на сайте,High,
,Ссылка на Пользовательское соглашение кликабельна и ведет на страницу с Пользовательским соглашением на сайте,High,
,Возврат на предыдущую страницу по кнопке НАЗАД,High,
Иконка личного кабинета,Иконка кликабельна и выпадает меню с пунктом ВЫЙТИ,High,
,При нажатии на ВЫЙТИ происходит выход из приложения,High,
Ориентация экрана,"Данные, введенные пользователем, сохраняются при изменении ориентации экрана и не теряются:
 - Страница авторизации (поля ЛОГИН и ПАРОЛЬ)
 - Редактирование новости (поля КАТЕГОРИЯ, ЗАГОЛОВОК, ОПИСАНИЕ)
 - Создание новости (поля КАТЕГОРИЯ, ЗАГОЛОВОК, ОПИСАНИЕ)",Medium,
,"Состояние фрагментов сохраняется и восстанавливается корректно при смене ориентации экрана (КАЛЕНДАРЬ, ЧАСЫ, ВСПЛЫВАЮЩЕЕ МЕНЮ, ПРЕДУПРЕЖДАЮЩИЕ ОКНА)",Medium,
,Макет приложения полностью адаптирован к горизонтальной ориентации,Medium,
Системный язык - английский,Приложение корректно реагирует на изменение языка устройства и переключается на английский язык при изменении настроек языка на устройстве.,Medium,
,"Переводы на английский язык корректны и соответствуют ожидаемому смыслу, не содержат грамматических ошибок или опечаток.",Medium,
,"Интерфейс приложения адаптирован для английского языка, включая расположение элементов интерфейса, длину текстов и другие аспекты",Medium,
,"Все тексты и сообщения в приложении отображаются на английском языке, если язык устройства установлен на английский.",Medium,
изменение темы устройства,Цветовая схема изменяется при переключении на темную тему,High,
,"Все элементы пользовательского интерфейса (текст, фоны, иконки и т. д.) адекватно реагируют на изменение темы",Medium,
,Изменение темы происходит мгновенно и без задержек,Medium,
,Приложение правильно реагирует на смену темы в различных разделах и состояниях,Medium,
,Темная тема не влияет на функциональность приложения и его производительность,Medium,
,Все элементы пользовательского интерфейса остаются хорошо видимыми и доступными для взаимодействия,High,
Входящий вызов,Корректная обработка входящих вызовов и не приводит к сбоям или вылетам,High,
,"Приложение правильно реагирует на входящий вызов во всех состояниях (активное, фоновое)",Medium,
Получение стороннего пуш-уведомления,Корректная обработка стороннего пуш-уведомления и не приводит к сбоям или вылетам,High,
,"Приложение правильно реагирует на пуш-уведомление во всех состояниях (активное, фоновое)",Medium,
Изменение состояния сети,Приложение корректно реагирует на изменение состояния сети (подключение/отключение от Интернета) и информирует пользователя о возможных проблемах с доступом к данным.,High,
,Приложение продолжает корректно работать в офлайн-режиме,High,
Подключение/отключение внешних устройств,"Подключение и отключение внешних устройств (например, наушников, Bluetooth-устройств) и не приводит к сбоям или непредвиденному поведению",Medium,
Изменение настроек устройства,"Изменение настроек устройства (например, изменение региона, временной зоны) и не приводит к сбоям или непредвиденному поведению.",High,
